,employee_id,department,gender,job_level,performance_rating,engagement,salary_thousands,tenure_years,age_years,promotion_indicator,record_start_date,record_end_date,termination_indicator,termination_date
20,20,Account/Client Management,Female,Individual Contributor,4.0,1.0,178,35,29,0,2018-01-01,2018-12-31,0,
21,21,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,3.0,4.0,176,5,28,0,2018-01-01,2018-12-31,0,
22,22,Technology,Female,Manager,5.0,2.0,114,18,21,0,2018-01-01,2018-12-31,0,
23,23,Technology,Male,Executive,4.0,2.0,2799,19,45,0,2018-01-01,2018-12-31,0,
24,24,Technology,Male,Manager,4.0,5.0,408,6,33,0,2018-01-01,2018-12-31,0,
25,25,Account/Client Management,Male,Manager,5.0,2.0,120,3,32,1,2018-01-01,2018-12-31,0,
26,26,Account/Client Management,Male,Senior Leader,4.0,3.0,824,48,38,0,2018-01-01,2018-12-31,0,
27,27,Technology,Male,Senior Leader,4.0,5.0,523,47,57,0,2018-01-01,2018-12-31,0,
28,28,Technology,Male,Senior Leader,5.0,3.0,1309,14,35,0,2018-01-01,2018-12-31,0,
29,29,Technology,Female,Individual Contributor,3.0,4.0,163,8,33,0,2018-01-01,2018-12-31,0,
30,30,Account/Client Management,Male,Individual Contributor,4.0,2.0,166,45,23,0,2018-01-01,2018-12-31,0,
31,31,Account/Client Management,Female,Individual Contributor,3.0,1.0,119,6,31,0,2018-01-01,2018-07-31,1,2018-07-31 00:00:00
32,32,"Corporate Admin (HR, Finance, etc)",Female,Manager,3.0,1.0,285,1,26,0,2018-01-01,2018-11-02,1,2018-11-02 00:00:00
33,33,Technology,Male,Individual Contributor,3.0,1.0,184,18,25,0,2018-01-01,2018-07-25,1,2018-07-25 00:00:00
34,34,Technology,Female,Individual Contributor,5.0,3.0,135,11,40,0,2018-01-01,2018-12-30,1,2018-12-30 00:00:00
35,35,Account/Client Management,Female,Individual Contributor,3.0,2.0,150,46,62,0,2018-01-01,2018-12-31,0,
36,36,Technology,Female,Manager,4.0,1.0,357,9,35,0,2018-01-01,2018-12-31,0,
37,37,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5.0,5.0,897,18,39,1,2018-01-01,2018-12-31,0,
38,38,Account/Client Management,Female,Individual Contributor,3.0,2.0,184,33,50,0,2018-01-01,2018-12-31,0,
39,39,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,4.0,3.0,153,1,23,0,2018-01-01,2018-12-31,0,
40,40,Technology,Female,Executive,3.0,4.0,4344,13,39,0,2018-01-01,2018-12-31,0,
41,41,Technology,Female,Manager,3.0,5.0,340,1,28,0,2018-01-01,2018-12-31,0,
42,42,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,4.0,5.0,713,14,36,0,2018-01-01,2018-12-31,0,
43,43,Technology,Female,Senior Leader,4.0,4.0,671,12,21,0,2018-01-01,2018-12-31,0,
44,44,Account/Client Management,Male,Senior Leader,3.0,3.0,819,9,26,0,2018-01-01,2018-12-31,0,
45,45,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,4.0,4.0,185,53,61,0,2018-01-01,2018-12-31,0,
46,46,Account/Client Management,Female,Individual Contributor,3.0,4.0,83,5,33,0,2018-01-01,2018-12-31,0,
47,47,Technology,Female,Individual Contributor,4.0,4.0,162,31,46,0,2018-01-01,2018-12-31,0,
48,48,Technology,Female,Individual Contributor,5.0,2.0,147,28,28,0,2018-01-01,2018-04-13,1,2018-04-13 00:00:00
49,49,Account/Client Management,Female,Manager,1.0,5.0,431,3,30,0,2018-01-01,2018-12-31,0,
50,50,Technology,Female,Individual Contributor,2.0,2.0,173,11,40,0,2018-01-01,2018-12-31,0,
51,51,Technology,Female,Individual Contributor,5.0,4.0,146,7,25,0,2018-01-01,2018-12-31,0,
52,52,Technology,Female,Executive,4.0,5.0,11121,3,24,0,2018-01-01,2018-12-31,0,
53,53,Technology,Male,Manager,4.0,5.0,356,7,32,0,2018-01-01,2018-12-31,0,
54,54,Account/Client Management,Male,Individual Contributor,5.0,2.0,141,58,37,0,2018-01-01,2018-07-13,1,2018-07-13 00:00:00
55,55,Technology,Male,Manager,3.0,5.0,404,1,30,0,2018-01-01,2018-12-31,0,
56,56,Technology,Male,Individual Contributor,3.0,1.0,79,47,39,0,2018-01-01,2018-12-31,0,
57,57,Technology,Male,Individual Contributor,3.0,3.0,104,10,37,0,2018-01-01,2018-12-31,0,
58,58,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,4.0,3.0,931,6,29,0,2018-01-01,2018-12-31,0,
59,59,Account/Client Management,Female,Individual Contributor,4.0,2.0,35,1,23,1,2018-01-01,2018-12-31,0,
60,60,Account/Client Management,Female,Manager,3.0,1.0,190,6,26,0,2018-01-01,2018-12-31,0,
61,61,Account/Client Management,Male,Senior Leader,3.0,2.0,891,4,28,0,2018-01-01,2018-12-31,0,
62,62,Account/Client Management,Male,Individual Contributor,1.0,3.0,48,9,34,0,2018-01-01,2018-12-31,0,
63,63,Technology,Female,Individual Contributor,3.0,2.0,96,29,30,0,2018-01-01,2018-12-31,0,
64,64,"Corporate Admin (HR, Finance, etc)",Male,Manager,4.0,2.0,312,1,29,0,2018-01-01,2018-03-20,1,2018-03-20 00:00:00
65,65,Technology,Female,Individual Contributor,2.0,2.0,164,13,37,0,2018-01-01,2018-09-05,1,2018-09-05 00:00:00
66,66,Technology,Male,Individual Contributor,3.0,2.0,124,8,34,0,2018-01-01,2018-12-31,0,
67,67,Technology,Male,Individual Contributor,1.0,2.0,69,13,35,0,2018-01-01,2018-10-16,1,2018-10-16 00:00:00
68,68,Technology,Male,Senior Leader,1.0,5.0,935,44,49,0,2018-01-01,2018-12-31,0,
69,69,Technology,Male,Individual Contributor,4.0,5.0,165,12,34,0,2018-01-01,2018-12-31,0,
70,70,Technology,Male,Individual Contributor,5.0,2.0,95,5,29,0,2018-01-01,2018-12-31,0,
71,71,Technology,Female,Individual Contributor,4.0,1.0,147,24,38,1,2018-01-01,2018-12-31,0,
72,72,Technology,Female,Individual Contributor,4.0,2.0,75,56,59,0,2018-01-01,2018-12-12,1,2018-12-12 00:00:00
73,73,Account/Client Management,Male,Individual Contributor,3.0,2.0,39,5,23,0,2018-01-01,2018-03-30,1,2018-03-30 00:00:00
74,74,Account/Client Management,Female,Senior Leader,4.0,5.0,723,16,42,0,2018-01-01,2018-12-31,0,
75,75,Account/Client Management,Male,Senior Leader,3.0,3.0,699,32,53,0,2018-01-01,2018-12-31,0,
76,76,Technology,Male,Senior Leader,4.0,4.0,602,14,36,0,2018-01-01,2018-12-31,0,
77,77,Account/Client Management,Male,Manager,4.0,4.0,137,3,25,0,2018-01-01,2018-07-20,1,2018-07-20 00:00:00
78,78,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,3.0,5.0,160,11,38,0,2018-01-01,2018-12-31,0,
79,79,Technology,Male,Executive,4.0,5.0,3410,2,28,0,2018-01-01,2018-12-31,0,
80,80,Account/Client Management,Male,Senior Leader,5.0,4.0,538,39,56,1,2018-01-01,2018-12-31,0,
81,81,Account/Client Management,Female,Individual Contributor,3.0,2.0,162,20,46,0,2018-01-01,2018-11-03,1,2018-11-03 00:00:00
82,82,Technology,Male,Individual Contributor,5.0,4.0,68,43,44,0,2018-01-01,2018-12-31,0,
83,83,Account/Client Management,Male,Senior Leader,5.0,5.0,487,45,24,0,2018-01-01,2018-01-25,1,2018-01-25 00:00:00
84,84,Account/Client Management,Female,Individual Contributor,2.0,1.0,152,49,42,0,2018-01-01,2018-06-27,1,2018-06-27 00:00:00
85,85,Technology,Male,Individual Contributor,3.0,1.0,162,3,21,0,2018-01-01,2018-04-01,1,2018-04-01 00:00:00
86,86,Account/Client Management,Male,Individual Contributor,4.0,3.0,186,20,43,0,2018-01-01,2018-12-31,0,
87,87,Account/Client Management,Female,Senior Leader,4.0,4.0,1257,6,22,0,2018-01-01,2018-12-31,0,
88,88,Account/Client Management,Male,Manager,4.0,4.0,335,3,32,0,2018-01-01,2018-12-31,0,
89,89,Account/Client Management,Female,Individual Contributor,2.0,2.0,196,2,31,0,2018-01-01,2018-12-31,0,
90,90,Technology,Female,Individual Contributor,5.0,1.0,185,43,44,0,2018-01-01,2018-12-31,0,
91,91,"Corporate Admin (HR, Finance, etc)",Male,Manager,4.0,5.0,156,8,23,0,2018-01-01,2018-12-31,0,
92,92,Account/Client Management,Female,Individual Contributor,3.0,5.0,111,7,30,0,2018-01-01,2018-12-31,0,
93,93,Technology,Male,Individual Contributor,3.0,3.0,72,20,37,0,2018-01-01,2018-12-31,0,
94,94,Account/Client Management,Male,Manager,5.0,1.0,343,13,37,0,2018-01-01,2018-12-31,0,
95,95,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,5.0,3.0,160,34,48,0,2018-01-01,2018-12-31,0,
96,96,Technology,Female,Manager,5.0,4.0,211,29,24,1,2018-01-01,2018-12-31,0,
97,97,Technology,Female,Senior Leader,5.0,4.0,697,11,35,0,2018-01-01,2018-12-31,0,
98,98,Account/Client Management,Female,Manager,4.0,4.0,325,3,27,0,2018-01-01,2018-12-31,0,
99,99,Technology,Male,Individual Contributor,3.0,1.0,87,43,62,0,2018-01-01,2018-12-31,0,
100,100,Technology,Male,Manager,3.0,2.0,202,14,25,0,2018-01-01,2018-12-31,0,
101,101,Technology,Male,Executive,5.0,3.0,1129,39,44,0,2018-01-01,2018-12-31,0,
102,102,Technology,Male,Individual Contributor,4.0,3.0,116,46,26,0,2018-01-01,2018-12-31,0,
103,103,Technology,Male,Executive,4.0,5.0,9299,22,47,0,2018-01-01,2018-12-31,0,
104,104,Technology,Female,Individual Contributor,4.0,1.0,96,2,25,0,2018-01-01,2018-12-31,0,
105,105,Account/Client Management,Male,Manager,4.0,4.0,269,2,27,0,2018-01-01,2018-12-31,0,
106,106,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,5.0,3.0,1127,9,37,0,2018-01-01,2018-12-31,0,
107,107,Account/Client Management,Female,Individual Contributor,4.0,1.0,190,7,29,0,2018-01-01,2018-12-31,0,
108,108,Technology,Male,Executive,4.0,5.0,2985,8,36,0,2018-01-01,2018-12-31,0,
109,109,Account/Client Management,Female,Individual Contributor,3.0,2.0,95,37,43,0,2018-01-01,2018-12-31,0,
110,110,Technology,Male,Manager,4.0,3.0,325,1,21,0,2018-01-01,2018-12-31,0,
111,111,Technology,Female,Senior Leader,4.0,3.0,810,17,39,0,2018-01-01,2018-12-31,0,
112,112,Technology,Male,Individual Contributor,5.0,3.0,120,42,43,0,2018-01-01,2018-12-31,0,
113,113,Technology,Female,Individual Contributor,1.0,5.0,85,6,28,0,2018-01-01,2018-01-05,1,2018-01-05 00:00:00
114,114,Account/Client Management,Male,Individual Contributor,4.0,4.0,68,38,66,0,2018-01-01,2018-12-31,0,
115,115,Account/Client Management,Male,Individual Contributor,5.0,5.0,59,40,25,0,2018-01-01,2018-12-31,0,
116,116,Technology,Male,Senior Leader,1.0,3.0,643,18,28,0,2018-01-01,2018-12-31,0,
117,117,Technology,Male,Individual Contributor,3.0,2.0,72,44,63,0,2018-01-01,2018-12-31,0,
118,118,Account/Client Management,Female,Individual Contributor,4.0,2.0,174,19,41,1,2018-01-01,2018-12-31,0,
119,119,Technology,Male,Individual Contributor,3.0,1.0,181,52,47,0,2018-01-01,2018-01-03,1,2018-01-03 00:00:00
120,120,Account/Client Management,Female,Individual Contributor,4.0,1.0,172,8,31,0,2018-01-01,2018-02-18,1,2018-02-18 00:00:00
121,121,Technology,Male,Manager,4.0,5.0,234,1,24,0,2018-01-01,2018-12-31,0,
122,122,Account/Client Management,Male,Individual Contributor,3.0,2.0,147,11,39,0,2018-01-01,2018-12-31,0,
123,123,Technology,Male,Individual Contributor,3.0,2.0,78,27,26,0,2018-01-01,2018-12-31,0,
124,124,Account/Client Management,Male,Manager,4.0,5.0,126,4,33,0,2018-01-01,2018-12-31,0,
125,125,Technology,Male,Manager,4.0,2.0,396,21,29,0,2018-01-01,2018-04-03,1,2018-04-03 00:00:00
126,126,Account/Client Management,Female,Senior Leader,5.0,5.0,487,7,34,0,2018-01-01,2018-06-26,1,2018-06-26 00:00:00
127,127,Technology,Female,Individual Contributor,5.0,3.0,126,13,42,0,2018-01-01,2018-12-31,0,
128,128,Technology,Female,Executive,3.0,5.0,8548,4,29,0,2018-01-01,2018-12-31,0,
129,129,Account/Client Management,Male,Individual Contributor,4.0,2.0,133,54,55,0,2018-01-01,2018-11-09,1,2018-11-09 00:00:00
130,130,Technology,Male,Manager,3.0,5.0,147,6,35,0,2018-01-01,2018-12-31,0,
131,131,Technology,Female,Individual Contributor,2.0,1.0,71,11,32,0,2018-01-01,2018-11-21,1,2018-11-21 00:00:00
132,132,"Corporate Admin (HR, Finance, etc)",Male,Manager,5.0,4.0,129,5,34,0,2018-01-01,2018-12-31,0,
133,133,Technology,Female,Individual Contributor,4.0,2.0,195,39,31,0,2018-01-01,2018-12-31,0,
134,134,Technology,Male,Individual Contributor,3.0,2.0,163,8,36,0,2018-01-01,2018-12-31,0,
135,135,"Corporate Admin (HR, Finance, etc)",Male,Manager,5.0,1.0,270,9,21,1,2018-01-01,2018-12-31,0,
136,136,Technology,Female,Individual Contributor,4.0,2.0,93,58,51,0,2018-01-01,2018-12-31,0,
137,137,Technology,Male,Individual Contributor,4.0,2.0,100,18,44,0,2018-01-01,2018-07-13,1,2018-07-13 00:00:00
138,138,Account/Client Management,Male,Senior Leader,3.0,3.0,780,16,40,0,2018-01-01,2018-12-31,0,
139,139,Technology,Male,Individual Contributor,3.0,3.0,68,28,49,0,2018-01-01,2018-12-31,0,
140,140,Technology,Male,Manager,4.0,1.0,220,2,25,0,2018-01-01,2018-12-31,0,
141,141,Technology,Male,Individual Contributor,3.0,4.0,96,5,26,0,2018-01-01,2018-12-31,0,
142,142,Account/Client Management,Male,Manager,4.0,2.0,217,9,38,0,2018-01-01,2018-06-17,1,2018-06-17 00:00:00
143,143,Technology,Male,Executive,4.0,3.0,8088,14,43,0,2018-01-01,2018-12-31,0,
144,144,Technology,Male,Executive,5.0,5.0,10889,19,25,0,2018-01-01,2018-12-31,0,
145,145,Technology,Female,Manager,3.0,5.0,294,7,30,0,2018-01-01,2018-12-31,0,
146,146,Technology,Male,Individual Contributor,4.0,1.0,160,6,33,0,2018-01-01,2018-12-31,0,
147,147,Technology,Male,Manager,5.0,3.0,324,7,33,0,2018-01-01,2018-07-30,1,2018-07-30 00:00:00
148,148,Account/Client Management,Female,Individual Contributor,3.0,5.0,181,12,40,0,2018-01-01,2018-09-10,1,2018-09-10 00:00:00
149,149,Account/Client Management,Female,Individual Contributor,4.0,3.0,160,13,37,0,2018-01-01,2018-12-31,0,
150,150,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3.0,4.0,160,3,28,0,2018-01-01,2018-12-31,0,
151,151,Technology,Male,Individual Contributor,3.0,2.0,123,34,27,0,2018-01-01,2018-12-31,0,
152,152,Account/Client Management,Male,Individual Contributor,5.0,4.0,100,43,62,1,2018-01-01,2018-12-31,0,
153,153,Account/Client Management,Male,Manager,4.0,1.0,383,24,33,0,2018-01-01,2018-01-12,1,2018-01-12 00:00:00
154,154,Technology,Female,Individual Contributor,4.0,4.0,80,54,35,0,2018-01-01,2018-12-31,0,
155,155,Technology,Female,Individual Contributor,5.0,3.0,94,13,41,0,2018-01-01,2018-12-31,0,
156,156,Account/Client Management,Female,Individual Contributor,3.0,5.0,77,21,44,0,2018-01-01,2018-12-31,0,
157,157,Technology,Male,Individual Contributor,4.0,2.0,171,57,30,0,2018-01-01,2018-12-31,0,
158,158,Account/Client Management,Male,Executive,4.0,4.0,10092,22,51,0,2018-01-01,2018-12-31,0,
159,159,Account/Client Management,Female,Individual Contributor,5.0,4.0,156,13,21,0,2018-01-01,2018-12-31,0,
160,160,Technology,Male,Individual Contributor,3.0,3.0,185,51,26,0,2018-01-01,2018-12-31,0,
161,161,Account/Client Management,Male,Individual Contributor,3.0,4.0,88,9,36,0,2018-01-01,2018-12-31,0,
162,162,Technology,Male,Individual Contributor,3.0,3.0,77,8,29,0,2018-01-01,2018-12-31,0,
163,163,Technology,Male,Individual Contributor,4.0,4.0,103,34,40,0,2018-01-01,2018-12-31,0,
164,164,Technology,Male,Individual Contributor,4.0,2.0,182,35,45,0,2018-01-01,2018-12-31,0,
165,165,Technology,Female,Executive,4.0,4.0,3800,15,41,0,2018-01-01,2018-12-31,0,
166,166,Account/Client Management,Female,Manager,4.0,4.0,197,6,30,0,2018-01-01,2018-12-31,0,
167,167,Technology,Male,Manager,3.0,5.0,325,18,31,0,2018-01-01,2018-12-31,0,
168,168,Technology,Male,Individual Contributor,2.0,1.0,140,37,22,0,2018-01-01,2018-10-25,1,2018-10-25 00:00:00
169,169,Technology,Male,Individual Contributor,3.0,5.0,53,13,34,0,2018-01-01,2018-12-31,0,
170,170,Account/Client Management,Male,Manager,3.0,2.0,140,2,28,0,2018-01-01,2018-09-11,1,2018-09-11 00:00:00
171,171,Technology,Male,Manager,4.0,5.0,348,1,26,0,2018-01-01,2018-12-31,0,
172,172,Technology,Female,Individual Contributor,3.0,3.0,38,7,30,0,2018-01-01,2018-12-31,0,
173,173,Account/Client Management,Female,Manager,4.0,4.0,193,2,26,0,2018-01-01,2018-12-31,0,
174,174,Account/Client Management,Male,Senior Leader,3.0,4.0,1122,38,66,0,2018-01-01,2018-12-31,0,
175,175,Account/Client Management,Male,Manager,4.0,1.0,159,9,35,0,2018-01-01,2018-12-31,0,
176,176,Technology,Male,Individual Contributor,4.0,2.0,116,47,41,0,2018-01-01,2018-12-31,0,
177,177,Technology,Male,Individual Contributor,5.0,5.0,111,52,26,0,2018-01-01,2018-12-31,0,
178,178,Technology,Female,Manager,3.0,5.0,354,9,34,0,2018-01-01,2018-07-11,1,2018-07-11 00:00:00
179,179,Technology,Male,Executive,3.0,4.0,5527,9,30,0,2018-01-01,2018-12-31,0,
180,180,Account/Client Management,Male,Manager,4.0,3.0,202,5,28,0,2018-01-01,2018-12-31,0,
181,181,Account/Client Management,Male,Executive,4.0,4.0,2301,14,43,0,2018-01-01,2018-12-31,0,
182,182,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3.0,4.0,73,7,28,0,2018-01-01,2018-12-31,0,
183,183,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5.0,2.0,1319,9,31,0,2018-01-01,2018-11-01,1,2018-11-01 00:00:00
184,184,Account/Client Management,Male,Individual Contributor,3.0,5.0,192,9,36,0,2018-01-01,2018-12-31,0,
185,185,Technology,Male,Individual Contributor,5.0,1.0,173,3,22,1,2018-01-01,2018-12-31,0,
186,186,Account/Client Management,Female,Senior Leader,3.0,4.0,482,15,44,0,2018-01-01,2018-12-31,0,
187,187,Technology,Male,Individual Contributor,5.0,1.0,198,4,30,0,2018-01-01,2018-12-31,0,
188,188,Technology,Female,Individual Contributor,2.0,1.0,64,2,31,0,2018-01-01,2018-12-31,0,
189,189,Technology,Female,Senior Leader,4.0,4.0,942,1,27,0,2018-01-01,2018-12-31,0,
190,190,"Corporate Admin (HR, Finance, etc)",Male,Manager,4.0,5.0,187,2,22,0,2018-01-01,2018-12-31,0,
191,191,Technology,Male,Individual Contributor,4.0,5.0,153,10,32,0,2018-01-01,2018-12-31,0,
192,192,Technology,Female,Senior Leader,3.0,4.0,1436,17,43,0,2018-01-01,2018-12-31,0,
193,193,Technology,Female,Individual Contributor,3.0,2.0,108,49,58,0,2018-01-01,2018-12-31,0,
194,194,Technology,Male,Senior Leader,3.0,4.0,994,5,31,0,2018-01-01,2018-12-31,0,
195,195,Technology,Male,Individual Contributor,5.0,1.0,110,5,31,0,2018-01-01,2018-12-31,0,
196,196,Technology,Female,Individual Contributor,5.0,1.0,77,7,30,0,2018-01-01,2018-12-31,0,
197,197,Technology,Female,Individual Contributor,5.0,5.0,124,30,36,0,2018-01-01,2018-09-20,1,2018-09-20 00:00:00
198,198,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,4.0,2.0,92,11,33,0,2018-01-01,2018-12-31,0,
199,199,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3.0,1.0,167,59,37,0,2018-01-01,2018-12-31,0,
200,200,Technology,Male,Individual Contributor,2.0,2.0,132,36,60,0,2018-01-01,2018-12-31,0,
201,201,Account/Client Management,Male,Individual Contributor,1.0,5.0,113,21,23,0,2018-01-01,2018-12-31,0,
202,202,Technology,Female,Individual Contributor,3.0,4.0,125,7,29,0,2018-01-01,2018-12-31,0,
203,203,Technology,Male,Senior Leader,5.0,5.0,1061,16,44,0,2018-01-01,2018-12-31,0,
204,204,Technology,Female,Individual Contributor,3.0,2.0,67,33,40,0,2018-01-01,2018-12-31,0,
205,205,Technology,Male,Individual Contributor,3.0,3.0,51,24,52,0,2018-01-01,2018-12-31,0,
206,206,Technology,Female,Individual Contributor,3.0,5.0,194,10,36,0,2018-01-01,2018-12-31,0,
207,207,Account/Client Management,Female,Individual Contributor,3.0,2.0,175,22,29,0,2018-01-01,2018-12-31,0,
208,208,Account/Client Management,Male,Individual Contributor,4.0,3.0,65,7,35,1,2018-01-01,2018-12-31,0,
209,209,Technology,Male,Manager,5.0,3.0,420,14,29,1,2018-01-01,2018-12-31,0,
210,210,Technology,Male,Individual Contributor,4.0,2.0,71,5,29,0,2018-01-01,2018-12-31,0,
211,211,Technology,Female,Manager,4.0,5.0,208,9,27,0,2018-01-01,2018-12-31,0,
212,212,Technology,Female,Executive,4.0,4.0,4917,22,47,0,2018-01-01,2018-12-31,0,
213,213,Technology,Male,Individual Contributor,3.0,5.0,118,4,27,0,2018-01-01,2018-12-31,0,
214,214,Account/Client Management,Male,Manager,3.0,4.0,365,7,29,0,2018-01-01,2018-12-31,0,
215,215,Technology,Female,Senior Leader,5.0,5.0,616,18,44,0,2018-01-01,2018-11-26,1,2018-11-26 00:00:00
216,216,Technology,Female,Individual Contributor,3.0,3.0,97,6,28,0,2018-01-01,2018-12-31,0,
217,217,Technology,Female,Individual Contributor,5.0,3.0,113,8,32,0,2018-01-01,2018-05-18,1,2018-05-18 00:00:00
218,218,Technology,Female,Individual Contributor,3.0,2.0,147,49,56,0,2018-01-01,2018-12-31,0,
219,219,Account/Client Management,Male,Individual Contributor,2.0,1.0,197,6,31,0,2018-01-01,2018-04-03,1,2018-04-03 00:00:00
220,220,Account/Client Management,Female,Manager,4.0,4.0,316,27,35,0,2018-01-01,2018-12-31,0,
221,221,Technology,Male,Executive,4.0,4.0,7633,31,40,0,2018-01-01,2018-12-31,0,
222,222,Technology,Male,Individual Contributor,4.0,5.0,167,29,38,0,2018-01-01,2018-12-31,0,
223,223,"Corporate Admin (HR, Finance, etc)",Male,Manager,3.0,4.0,189,12,40,0,2018-01-01,2018-12-31,0,
224,224,Account/Client Management,Male,Individual Contributor,3.0,4.0,117,13,34,0,2018-01-01,2018-12-31,0,
225,225,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3.0,2.0,63,57,56,0,2018-01-01,2018-12-31,0,
226,226,Account/Client Management,Male,Individual Contributor,3.0,1.0,173,1,22,0,2018-01-01,2018-12-31,0,
227,227,Account/Client Management,Male,Individual Contributor,5.0,4.0,116,26,41,0,2018-01-01,2018-12-31,0,
228,228,Technology,Male,Individual Contributor,1.0,2.0,134,53,61,0,2018-01-01,2018-12-31,0,
229,229,Account/Client Management,Female,Individual Contributor,3.0,5.0,179,28,42,0,2018-01-01,2018-12-31,0,
230,230,Account/Client Management,Female,Individual Contributor,3.0,2.0,178,55,43,0,2018-01-01,2018-12-31,0,
231,231,Technology,Female,Individual Contributor,4.0,1.0,47,41,27,0,2018-01-01,2018-12-31,0,
232,232,Account/Client Management,Female,Manager,3.0,3.0,424,8,37,0,2018-01-01,2018-12-31,0,
233,233,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5.0,3.0,662,40,46,0,2018-01-01,2018-12-31,0,
234,234,Technology,Female,Individual Contributor,4.0,2.0,63,55,50,0,2018-01-01,2018-07-08,1,2018-07-08 00:00:00
235,235,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,2.0,4.0,190,3,24,0,2018-01-01,2018-12-31,0,
236,236,Technology,Male,Executive,4.0,5.0,913,13,39,0,2018-01-01,2018-12-31,0,
237,237,Technology,Male,Individual Contributor,3.0,3.0,197,7,32,0,2018-01-01,2018-12-31,0,
238,238,Account/Client Management,Female,Senior Leader,5.0,4.0,836,1,29,0,2018-01-01,2018-01-27,1,2018-01-27 00:00:00
239,239,Account/Client Management,Male,Individual Contributor,4.0,3.0,183,11,23,0,2018-01-01,2018-08-08,1,2018-08-08 00:00:00
240,240,Technology,Male,Senior Leader,3.0,5.0,888,8,31,0,2018-01-01,2018-12-31,0,
241,241,Technology,Male,Individual Contributor,4.0,2.0,35,59,59,0,2018-01-01,2018-12-31,0,
242,242,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5.0,3.0,809,3,28,0,2018-01-01,2018-07-11,1,2018-07-11 00:00:00
243,243,Technology,Male,Senior Leader,5.0,4.0,968,3,25,0,2018-01-01,2018-12-31,0,
244,244,Technology,Male,Individual Contributor,4.0,1.0,107,52,21,0,2018-01-01,2018-12-31,0,
245,245,Account/Client Management,Female,Manager,5.0,1.0,213,6,35,0,2018-01-01,2018-01-17,1,2018-01-17 00:00:00
