employee_id,department,gender,job_level,performance_rating,engagement,salary_thousands,tenure_years,age_years,promotion_indicator,record_start_date,record_end_date,termination_indicator,termination_date
29,Technology,Female,Individual Contributor,3,4,163,8,33,0,1/1/2018,12/31/2018,0,
30,Account/Client Management,Male,Individual Contributor,4,2,166,45,23,0,1/1/2018,12/31/2018,0,
31,Account/Client Management,Female,Individual Contributor,3,1,119,6,31,0,1/1/2018,7/31/2018,1,7/31/2018 0:00
32,"Corporate Admin (HR, Finance, etc)",Female,Manager,3,1,285,1,26,0,1/1/2018,11/2/2018,1,11/2/2018 0:00
33,Technology,Male,Individual Contributor,3,1,184,18,25,0,1/1/2018,7/25/2018,1,7/25/2018 0:00
34,Technology,Female,Individual Contributor,5,3,135,11,40,0,1/1/2018,12/30/2018,1,12/30/2018 0:00
35,Account/Client Management,Female,Individual Contributor,3,2,150,46,62,0,1/1/2018,12/31/2018,0,
36,Technology,Female,Manager,4,1,357,9,35,0,1/1/2018,12/31/2018,0,
37,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5,5,897,18,39,1,1/1/2018,12/31/2018,0,
38,Account/Client Management,Female,Individual Contributor,3,2,184,33,50,0,1/1/2018,12/31/2018,0,
39,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,4,3,153,1,23,0,1/1/2018,12/31/2018,0,
40,Technology,Female,Executive,3,4,4344,13,39,0,1/1/2018,12/31/2018,0,
41,Technology,Female,Manager,3,5,340,1,28,0,1/1/2018,12/31/2018,0,
42,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,4,5,713,14,36,0,1/1/2018,12/31/2018,0,
43,Technology,Female,Senior Leader,4,4,671,12,21,0,1/1/2018,12/31/2018,0,
44,Account/Client Management,Male,Senior Leader,3,3,819,9,26,0,1/1/2018,12/31/2018,0,
45,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,4,4,185,53,61,0,1/1/2018,12/31/2018,0,
46,Account/Client Management,Female,Individual Contributor,3,4,83,5,33,0,1/1/2018,12/31/2018,0,
47,Technology,Female,Individual Contributor,4,4,162,31,46,0,1/1/2018,12/31/2018,0,
48,Technology,Female,Individual Contributor,5,2,147,28,28,0,1/1/2018,4/13/2018,1,4/13/2018 0:00
49,Account/Client Management,Female,Manager,1,5,431,3,30,0,1/1/2018,12/31/2018,0,
50,Technology,Female,Individual Contributor,2,2,173,11,40,0,1/1/2018,12/31/2018,0,
51,Technology,Female,Individual Contributor,5,4,146,7,25,0,1/1/2018,12/31/2018,0,
52,Technology,Female,Executive,4,5,11121,3,24,0,1/1/2018,12/31/2018,0,
53,Technology,Male,Manager,4,5,356,7,32,0,1/1/2018,12/31/2018,0,
54,Account/Client Management,Male,Individual Contributor,5,2,141,58,37,0,1/1/2018,7/13/2018,1,7/13/2018 0:00
55,Technology,Male,Manager,3,5,404,1,30,0,1/1/2018,12/31/2018,0,
56,Technology,Male,Individual Contributor,3,1,79,47,39,0,1/1/2018,12/31/2018,0,
57,Technology,Male,Individual Contributor,3,3,104,10,37,0,1/1/2018,12/31/2018,0,
58,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,4,3,931,6,29,0,1/1/2018,12/31/2018,0,
59,Account/Client Management,Female,Individual Contributor,4,2,35,1,23,1,1/1/2018,12/31/2018,0,
60,Account/Client Management,Female,Manager,3,1,190,6,26,0,1/1/2018,12/31/2018,0,
61,Account/Client Management,Male,Senior Leader,3,2,891,4,28,0,1/1/2018,12/31/2018,0,
62,Account/Client Management,Male,Individual Contributor,1,3,48,9,34,0,1/1/2018,12/31/2018,0,
63,Technology,Female,Individual Contributor,3,2,96,29,30,0,1/1/2018,12/31/2018,0,
64,"Corporate Admin (HR, Finance, etc)",Male,Manager,4,2,312,1,29,0,1/1/2018,3/20/2018,1,3/20/2018 0:00
65,Technology,Female,Individual Contributor,2,2,164,13,37,0,1/1/2018,9/5/2018,1,9/5/2018 0:00
66,Technology,Male,Individual Contributor,3,2,124,8,34,0,1/1/2018,12/31/2018,0,
67,Technology,Male,Individual Contributor,1,2,69,13,35,0,1/1/2018,10/16/2018,1,10/16/2018 0:00
68,Technology,Male,Senior Leader,1,5,935,44,49,0,1/1/2018,12/31/2018,0,
69,Technology,Male,Individual Contributor,4,5,165,12,34,0,1/1/2018,12/31/2018,0,
70,Technology,Male,Individual Contributor,5,2,95,5,29,0,1/1/2018,12/31/2018,0,
71,Technology,Female,Individual Contributor,4,1,147,24,38,1,1/1/2018,12/31/2018,0,
72,Technology,Female,Individual Contributor,4,2,75,56,59,0,1/1/2018,12/12/2018,1,12/12/2018 0:00
73,Account/Client Management,Male,Individual Contributor,3,2,39,5,23,0,1/1/2018,3/30/2018,1,3/30/2018 0:00
74,Account/Client Management,Female,Senior Leader,4,5,723,16,42,0,1/1/2018,12/31/2018,0,
75,Account/Client Management,Male,Senior Leader,3,3,699,32,53,0,1/1/2018,12/31/2018,0,
76,Technology,Male,Senior Leader,4,4,602,14,36,0,1/1/2018,12/31/2018,0,
77,Account/Client Management,Male,Manager,4,4,137,3,25,0,1/1/2018,7/20/2018,1,7/20/2018 0:00
78,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,3,5,160,11,38,0,1/1/2018,12/31/2018,0,
79,Technology,Male,Executive,4,5,3410,2,28,0,1/1/2018,12/31/2018,0,
80,Account/Client Management,Male,Senior Leader,5,4,538,39,56,1,1/1/2018,12/31/2018,0,
81,Account/Client Management,Female,Individual Contributor,3,2,162,20,46,0,1/1/2018,11/3/2018,1,11/3/2018 0:00
82,Technology,Male,Individual Contributor,5,4,68,43,44,0,1/1/2018,12/31/2018,0,
83,Account/Client Management,Male,Senior Leader,5,5,487,45,24,0,1/1/2018,1/25/2018,1,1/25/2018 0:00
84,Account/Client Management,Female,Individual Contributor,2,1,152,49,42,0,1/1/2018,6/27/2018,1,6/27/2018 0:00
85,Technology,Male,Individual Contributor,3,1,162,3,21,0,1/1/2018,4/1/2018,1,4/1/2018 0:00
86,Account/Client Management,Male,Individual Contributor,4,3,186,20,43,0,1/1/2018,12/31/2018,0,
87,Account/Client Management,Female,Senior Leader,4,4,1257,6,22,0,1/1/2018,12/31/2018,0,
88,Account/Client Management,Male,Manager,4,4,335,3,32,0,1/1/2018,12/31/2018,0,
89,Account/Client Management,Female,Individual Contributor,2,2,196,2,31,0,1/1/2018,12/31/2018,0,
90,Technology,Female,Individual Contributor,5,1,185,43,44,0,1/1/2018,12/31/2018,0,
91,"Corporate Admin (HR, Finance, etc)",Male,Manager,4,5,156,8,23,0,1/1/2018,12/31/2018,0,
92,Account/Client Management,Female,Individual Contributor,3,5,111,7,30,0,1/1/2018,12/31/2018,0,
93,Technology,Male,Individual Contributor,3,3,72,20,37,0,1/1/2018,12/31/2018,0,
94,Account/Client Management,Male,Manager,5,1,343,13,37,0,1/1/2018,12/31/2018,0,
95,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,5,3,160,34,48,0,1/1/2018,12/31/2018,0,
96,Technology,Female,Manager,5,4,211,29,24,1,1/1/2018,12/31/2018,0,
97,Technology,Female,Senior Leader,5,4,697,11,35,0,1/1/2018,12/31/2018,0,
98,Account/Client Management,Female,Manager,4,4,325,3,27,0,1/1/2018,12/31/2018,0,
99,Technology,Male,Individual Contributor,3,1,87,43,62,0,1/1/2018,12/31/2018,0,
100,Technology,Male,Manager,3,2,202,14,25,0,1/1/2018,12/31/2018,0,
101,Technology,Male,Executive,5,3,1129,39,44,0,1/1/2018,12/31/2018,0,
102,Technology,Male,Individual Contributor,4,3,116,46,26,0,1/1/2018,12/31/2018,0,
103,Technology,Male,Executive,4,5,9299,22,47,0,1/1/2018,12/31/2018,0,
104,Technology,Female,Individual Contributor,4,1,96,2,25,0,1/1/2018,12/31/2018,0,
105,Account/Client Management,Male,Manager,4,4,269,2,27,0,1/1/2018,12/31/2018,0,
106,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,5,3,1127,9,37,0,1/1/2018,12/31/2018,0,
107,Account/Client Management,Female,Individual Contributor,4,1,190,7,29,0,1/1/2018,12/31/2018,0,
108,Technology,Male,Executive,4,5,2985,8,36,0,1/1/2018,12/31/2018,0,
109,Account/Client Management,Female,Individual Contributor,3,2,95,37,43,0,1/1/2018,12/31/2018,0,
110,Technology,Male,Manager,4,3,325,1,21,0,1/1/2018,12/31/2018,0,
111,Technology,Female,Senior Leader,4,3,810,17,39,0,1/1/2018,12/31/2018,0,
112,Technology,Male,Individual Contributor,5,3,120,42,43,0,1/1/2018,12/31/2018,0,
113,Technology,Female,Individual Contributor,1,5,85,6,28,0,1/1/2018,1/5/2018,1,1/5/2018 0:00
114,Account/Client Management,Male,Individual Contributor,4,4,68,38,66,0,1/1/2018,12/31/2018,0,
115,Account/Client Management,Male,Individual Contributor,5,5,59,40,25,0,1/1/2018,12/31/2018,0,
116,Technology,Male,Senior Leader,1,3,643,18,28,0,1/1/2018,12/31/2018,0,
117,Technology,Male,Individual Contributor,3,2,72,44,63,0,1/1/2018,12/31/2018,0,
118,Account/Client Management,Female,Individual Contributor,4,2,174,19,41,1,1/1/2018,12/31/2018,0,
119,Technology,Male,Individual Contributor,3,1,181,52,47,0,1/1/2018,1/3/2018,1,1/3/2018 0:00
120,Account/Client Management,Female,Individual Contributor,4,1,172,8,31,0,1/1/2018,2/18/2018,1,2/18/2018 0:00
121,Technology,Male,Manager,4,5,234,1,24,0,1/1/2018,12/31/2018,0,
122,Account/Client Management,Male,Individual Contributor,3,2,147,11,39,0,1/1/2018,12/31/2018,0,
123,Technology,Male,Individual Contributor,3,2,78,27,26,0,1/1/2018,12/31/2018,0,
124,Account/Client Management,Male,Manager,4,5,126,4,33,0,1/1/2018,12/31/2018,0,
125,Technology,Male,Manager,4,2,396,21,29,0,1/1/2018,4/3/2018,1,4/3/2018 0:00
126,Account/Client Management,Female,Senior Leader,5,5,487,7,34,0,1/1/2018,6/26/2018,1,6/26/2018 0:00
127,Technology,Female,Individual Contributor,5,3,126,13,42,0,1/1/2018,12/31/2018,0,
128,Technology,Female,Executive,3,5,8548,4,29,0,1/1/2018,12/31/2018,0,
129,Account/Client Management,Male,Individual Contributor,4,2,133,54,55,0,1/1/2018,11/9/2018,1,11/9/2018 0:00
130,Technology,Male,Manager,3,5,147,6,35,0,1/1/2018,12/31/2018,0,
131,Technology,Female,Individual Contributor,2,1,71,11,32,0,1/1/2018,11/21/2018,1,11/21/2018 0:00
132,"Corporate Admin (HR, Finance, etc)",Male,Manager,5,4,129,5,34,0,1/1/2018,12/31/2018,0,
133,Technology,Female,Individual Contributor,4,2,195,39,31,0,1/1/2018,12/31/2018,0,
134,Technology,Male,Individual Contributor,3,2,163,8,36,0,1/1/2018,12/31/2018,0,
135,"Corporate Admin (HR, Finance, etc)",Male,Manager,5,1,270,9,21,1,1/1/2018,12/31/2018,0,
136,Technology,Female,Individual Contributor,4,2,93,58,51,0,1/1/2018,12/31/2018,0,
137,Technology,Male,Individual Contributor,4,2,100,18,44,0,1/1/2018,7/13/2018,1,7/13/2018 0:00
138,Account/Client Management,Male,Senior Leader,3,3,780,16,40,0,1/1/2018,12/31/2018,0,
139,Technology,Male,Individual Contributor,3,3,68,28,49,0,1/1/2018,12/31/2018,0,
140,Technology,Male,Manager,4,1,220,2,25,0,1/1/2018,12/31/2018,0,
141,Technology,Male,Individual Contributor,3,4,96,5,26,0,1/1/2018,12/31/2018,0,
142,Account/Client Management,Male,Manager,4,2,217,9,38,0,1/1/2018,6/17/2018,1,6/17/2018 0:00
143,Technology,Male,Executive,4,3,8088,14,43,0,1/1/2018,12/31/2018,0,
144,Technology,Male,Executive,5,5,10889,19,25,0,1/1/2018,12/31/2018,0,
145,Technology,Female,Manager,3,5,294,7,30,0,1/1/2018,12/31/2018,0,
146,Technology,Male,Individual Contributor,4,1,160,6,33,0,1/1/2018,12/31/2018,0,
147,Technology,Male,Manager,5,3,324,7,33,0,1/1/2018,7/30/2018,1,7/30/2018 0:00
148,Account/Client Management,Female,Individual Contributor,3,5,181,12,40,0,1/1/2018,9/10/2018,1,9/10/2018 0:00
149,Account/Client Management,Female,Individual Contributor,4,3,160,13,37,0,1/1/2018,12/31/2018,0,
150,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3,4,160,3,28,0,1/1/2018,12/31/2018,0,
151,Technology,Male,Individual Contributor,3,2,123,34,27,0,1/1/2018,12/31/2018,0,
152,Account/Client Management,Male,Individual Contributor,5,4,100,43,62,1,1/1/2018,12/31/2018,0,
153,Account/Client Management,Male,Manager,4,1,383,24,33,0,1/1/2018,1/12/2018,1,1/12/2018 0:00
154,Technology,Female,Individual Contributor,4,4,80,54,35,0,1/1/2018,12/31/2018,0,
155,Technology,Female,Individual Contributor,5,3,94,13,41,0,1/1/2018,12/31/2018,0,
156,Account/Client Management,Female,Individual Contributor,3,5,77,21,44,0,1/1/2018,12/31/2018,0,
157,Technology,Male,Individual Contributor,4,2,171,57,30,0,1/1/2018,12/31/2018,0,
158,Account/Client Management,Male,Executive,4,4,10092,22,51,0,1/1/2018,12/31/2018,0,
159,Account/Client Management,Female,Individual Contributor,5,4,156,13,21,0,1/1/2018,12/31/2018,0,
160,Technology,Male,Individual Contributor,3,3,185,51,26,0,1/1/2018,12/31/2018,0,
161,Account/Client Management,Male,Individual Contributor,3,4,88,9,36,0,1/1/2018,12/31/2018,0,
162,Technology,Male,Individual Contributor,3,3,77,8,29,0,1/1/2018,12/31/2018,0,
163,Technology,Male,Individual Contributor,4,4,103,34,40,0,1/1/2018,12/31/2018,0,
164,Technology,Male,Individual Contributor,4,2,182,35,45,0,1/1/2018,12/31/2018,0,
165,Technology,Female,Executive,4,4,3800,15,41,0,1/1/2018,12/31/2018,0,
166,Account/Client Management,Female,Manager,4,4,197,6,30,0,1/1/2018,12/31/2018,0,
167,Technology,Male,Manager,3,5,325,18,31,0,1/1/2018,12/31/2018,0,
168,Technology,Male,Individual Contributor,2,1,140,37,22,0,1/1/2018,10/25/2018,1,10/25/2018 0:00
169,Technology,Male,Individual Contributor,3,5,53,13,34,0,1/1/2018,12/31/2018,0,
170,Account/Client Management,Male,Manager,3,2,140,2,28,0,1/1/2018,9/11/2018,1,9/11/2018 0:00
171,Technology,Male,Manager,4,5,348,1,26,0,1/1/2018,12/31/2018,0,
172,Technology,Female,Individual Contributor,3,3,38,7,30,0,1/1/2018,12/31/2018,0,
173,Account/Client Management,Female,Manager,4,4,193,2,26,0,1/1/2018,12/31/2018,0,
174,Account/Client Management,Male,Senior Leader,3,4,1122,38,66,0,1/1/2018,12/31/2018,0,
175,Account/Client Management,Male,Manager,4,1,159,9,35,0,1/1/2018,12/31/2018,0,
176,Technology,Male,Individual Contributor,4,2,116,47,41,0,1/1/2018,12/31/2018,0,
177,Technology,Male,Individual Contributor,5,5,111,52,26,0,1/1/2018,12/31/2018,0,
178,Technology,Female,Manager,3,5,354,9,34,0,1/1/2018,7/11/2018,1,7/11/2018 0:00
179,Technology,Male,Executive,3,4,5527,9,30,0,1/1/2018,12/31/2018,0,
180,Account/Client Management,Male,Manager,4,3,202,5,28,0,1/1/2018,12/31/2018,0,
181,Account/Client Management,Male,Executive,4,4,2301,14,43,0,1/1/2018,12/31/2018,0,
182,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3,4,73,7,28,0,1/1/2018,12/31/2018,0,
183,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5,2,1319,9,31,0,1/1/2018,11/1/2018,1,11/1/2018 0:00
184,Account/Client Management,Male,Individual Contributor,3,5,192,9,36,0,1/1/2018,12/31/2018,0,
185,Technology,Male,Individual Contributor,5,1,173,3,22,1,1/1/2018,12/31/2018,0,
186,Account/Client Management,Female,Senior Leader,3,4,482,15,44,0,1/1/2018,12/31/2018,0,
187,Technology,Male,Individual Contributor,5,1,198,4,30,0,1/1/2018,12/31/2018,0,
188,Technology,Female,Individual Contributor,2,1,64,2,31,0,1/1/2018,12/31/2018,0,
189,Technology,Female,Senior Leader,4,4,942,1,27,0,1/1/2018,12/31/2018,0,
190,"Corporate Admin (HR, Finance, etc)",Male,Manager,4,5,187,2,22,0,1/1/2018,12/31/2018,0,
191,Technology,Male,Individual Contributor,4,5,153,10,32,0,1/1/2018,12/31/2018,0,
192,Technology,Female,Senior Leader,3,4,1436,17,43,0,1/1/2018,12/31/2018,0,
193,Technology,Female,Individual Contributor,3,2,108,49,58,0,1/1/2018,12/31/2018,0,
194,Technology,Male,Senior Leader,3,4,994,5,31,0,1/1/2018,12/31/2018,0,
195,Technology,Male,Individual Contributor,5,1,110,5,31,0,1/1/2018,12/31/2018,0,
196,Technology,Female,Individual Contributor,5,1,77,7,30,0,1/1/2018,12/31/2018,0,
197,Technology,Female,Individual Contributor,5,5,124,30,36,0,1/1/2018,9/20/2018,1,9/20/2018 0:00
198,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,4,2,92,11,33,0,1/1/2018,12/31/2018,0,
199,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3,1,167,59,37,0,1/1/2018,12/31/2018,0,
200,Technology,Male,Individual Contributor,2,2,132,36,60,0,1/1/2018,12/31/2018,0,
201,Account/Client Management,Male,Individual Contributor,1,5,113,21,23,0,1/1/2018,12/31/2018,0,
202,Technology,Female,Individual Contributor,3,4,125,7,29,0,1/1/2018,12/31/2018,0,
203,Technology,Male,Senior Leader,5,5,1061,16,44,0,1/1/2018,12/31/2018,0,
204,Technology,Female,Individual Contributor,3,2,67,33,40,0,1/1/2018,12/31/2018,0,
205,Technology,Male,Individual Contributor,3,3,51,24,52,0,1/1/2018,12/31/2018,0,
206,Technology,Female,Individual Contributor,3,5,194,10,36,0,1/1/2018,12/31/2018,0,
207,Account/Client Management,Female,Individual Contributor,3,2,175,22,29,0,1/1/2018,12/31/2018,0,
208,Account/Client Management,Male,Individual Contributor,4,3,65,7,35,1,1/1/2018,12/31/2018,0,
209,Technology,Male,Manager,5,3,420,14,29,1,1/1/2018,12/31/2018,0,
210,Technology,Male,Individual Contributor,4,2,71,5,29,0,1/1/2018,12/31/2018,0,
211,Technology,Female,Manager,4,5,208,9,27,0,1/1/2018,12/31/2018,0,
212,Technology,Female,Executive,4,4,4917,22,47,0,1/1/2018,12/31/2018,0,
213,Technology,Male,Individual Contributor,3,5,118,4,27,0,1/1/2018,12/31/2018,0,
214,Account/Client Management,Male,Manager,3,4,365,7,29,0,1/1/2018,12/31/2018,0,
215,Technology,Female,Senior Leader,5,5,616,18,44,0,1/1/2018,11/26/2018,1,11/26/2018 0:00
216,Technology,Female,Individual Contributor,3,3,97,6,28,0,1/1/2018,12/31/2018,0,
217,Technology,Female,Individual Contributor,5,3,113,8,32,0,1/1/2018,5/18/2018,1,5/18/2018 0:00
218,Technology,Female,Individual Contributor,3,2,147,49,56,0,1/1/2018,12/31/2018,0,
219,Account/Client Management,Male,Individual Contributor,2,1,197,6,31,0,1/1/2018,4/3/2018,1,4/3/2018 0:00
220,Account/Client Management,Female,Manager,4,4,316,27,35,0,1/1/2018,12/31/2018,0,
221,Technology,Male,Executive,4,4,7633,31,40,0,1/1/2018,12/31/2018,0,
222,Technology,Male,Individual Contributor,4,5,167,29,38,0,1/1/2018,12/31/2018,0,
223,"Corporate Admin (HR, Finance, etc)",Male,Manager,3,4,189,12,40,0,1/1/2018,12/31/2018,0,
224,Account/Client Management,Male,Individual Contributor,3,4,117,13,34,0,1/1/2018,12/31/2018,0,
225,"Corporate Admin (HR, Finance, etc)",Male,Individual Contributor,3,2,63,57,56,0,1/1/2018,12/31/2018,0,
226,Account/Client Management,Male,Individual Contributor,3,1,173,1,22,0,1/1/2018,12/31/2018,0,
227,Account/Client Management,Male,Individual Contributor,5,4,116,26,41,0,1/1/2018,12/31/2018,0,
228,Technology,Male,Individual Contributor,1,2,134,53,61,0,1/1/2018,12/31/2018,0,
229,Account/Client Management,Female,Individual Contributor,3,5,179,28,42,0,1/1/2018,12/31/2018,0,
230,Account/Client Management,Female,Individual Contributor,3,2,178,55,43,0,1/1/2018,12/31/2018,0,
231,Technology,Female,Individual Contributor,4,1,47,41,27,0,1/1/2018,12/31/2018,0,
232,Account/Client Management,Female,Manager,3,3,424,8,37,0,1/1/2018,12/31/2018,0,
233,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5,3,662,40,46,0,1/1/2018,12/31/2018,0,
234,Technology,Female,Individual Contributor,4,2,63,55,50,0,1/1/2018,7/8/2018,1,7/8/2018 0:00
235,"Corporate Admin (HR, Finance, etc)",Female,Individual Contributor,2,4,190,3,24,0,1/1/2018,12/31/2018,0,
236,Technology,Male,Executive,4,5,913,13,39,0,1/1/2018,12/31/2018,0,
237,Technology,Male,Individual Contributor,3,3,197,7,32,0,1/1/2018,12/31/2018,0,
238,Account/Client Management,Female,Senior Leader,5,4,836,1,29,0,1/1/2018,1/27/2018,1,1/27/2018 0:00
239,Account/Client Management,Male,Individual Contributor,4,3,183,11,23,0,1/1/2018,8/8/2018,1,8/8/2018 0:00
240,Technology,Male,Senior Leader,3,5,888,8,31,0,1/1/2018,12/31/2018,0,
241,Technology,Male,Individual Contributor,4,2,35,59,59,0,1/1/2018,12/31/2018,0,
242,"Corporate Admin (HR, Finance, etc)",Male,Senior Leader,5,3,809,3,28,0,1/1/2018,7/11/2018,1,7/11/2018 0:00
243,Technology,Male,Senior Leader,5,4,968,3,25,0,1/1/2018,12/31/2018,0,
244,Technology,Male,Individual Contributor,4,1,107,52,21,0,1/1/2018,12/31/2018,0,
245,Account/Client Management,Female,Manager,5,1,213,6,35,0,1/1/2018,1/17/2018,1,1/17/2018 0:00
246,Technology,Male,Individual Contributor,3,3,167,50,61,0,1/1/2018,12/31/2018,0,
247,Technology,Male,Individual Contributor,3,4,178,32,44,0,1/1/2018,12/31/2018,0,
248,Account/Client Management,Male,Individual Contributor,2,5,183,1,22,0,1/1/2018,9/25/2018,1,9/25/2018 0:00
249,Technology,Female,Individual Contributor,4,4,152,50,54,0,1/1/2018,12/31/2018,0,
250,Technology,Male,Individual Contributor,5,3,175,28,44,1,1/1/2018,12/31/2018,0,
251,Account/Client Management,Male,Senior Leader,4,3,992,29,32,0,1/1/2018,12/31/2018,0,
252,Technology,Male,Senior Leader,3,3,578,15,42,0,1/1/2018,12/31/2018,0,
253,Account/Client Management,Male,Senior Leader,3,4,935,16,41,0,1/1/2018,12/31/2018,0,
254,Technology,Male,Individual Contributor,3,1,180,36,55,0,1/1/2018,8/1/2018,1,8/1/2018 0:00
255,Account/Client Management,Female,Manager,3,5,324,6,28,0,1/1/2018,12/31/2018,0,
256,Technology,Male,Individual Contributor,4,2,115,3,25,0,1/1/2018,12/31/2018,0,
257,Account/Client Management,Female,Manager,3,4,326,13,34,0,1/1/2018,12/31/2018,0,
258,Account/Client Management,Male,Individual Contributor,3,2,76,14,36,0,1/1/2018,12/31/2018,0,
259,Account/Client Management,Male,Individual Contributor,5,3,97,58,27,1,1/1/2018,12/31/2018,0,
260,Technology,Female,Individual Contributor,1,3,79,43,32,0,1/1/2018,10/17/2018,1,10/17/2018 0:00
261,"Corporate Admin (HR, Finance, etc)",Female,Executive,1,5,3280,14,41,0,1/1/2018,10/7/2018,1,10/7/2018 0:00
262,Technology,Male,Individual Contributor,4,4,63,3,32,0,1/1/2018,12/31/2018,0,
263,"Corporate Admin (HR, Finance, etc)",Female,Senior Leader,3,5,671,19,25,0,1/1/2018,12/31/2018,0,
264,Account/Client Management,Female,Individual Contributor,4,2,138,49,21,0,1/1/2018,12/31/2018,0,
265,Technology,Female,Senior Leader,4,3,713,17,38,0,1/1/2018,12/31/2018,0,
266,Technology,Male,Individual Contributor,3,4,193,15,44,0,1/1/2018,12/31/2018,0,
267,Technology,Male,Manager,3,3,311,1,24,0,1/1/2018,12/31/2018,0,
268,Technology,Male,Individual Contributor,5,4,69,41,36,0,1/1/2018,12/31/2018,0,
269,Account/Client Management,Male,Individual Contributor,1,1,62,45,64,0,1/1/2018,2/6/2018,1,2/6/2018 0:00
270,Technology,Male,Individual Contributor,5,5,140,19,30,1,1/1/2018,12/31/2018,0,
271,Technology,Female,Individual Contributor,3,2,45,3,29,0,1/1/2018,12/31/2018,0,
272,Technology,Female,Individual Contributor,3,2,154,5,30,0,1/1/2018,9/7/2018,1,9/7/2018 0:00
273,Technology,Female,Individual Contributor,4,2,199,12,38,0,1/1/2018,12/31/2018,0,
274,Technology,Male,Individual Contributor,5,1,194,5,30,0,1/1/2018,12/31/2018,0,
275,Technology,Female,Individual Contributor,1,2,181,8,37,0,1/1/2018,8/22/2018,1,8/22/2018 0:00
276,Technology,Female,Manager,5,2,302,16,31,0,1/1/2018,7/11/2018,1,7/11/2018 0:00
277,Technology,Male,Senior Leader,5,4,715,5,27,0,1/1/2018,8/11/2018,1,8/11/2018 0:00
